Make;Jan-12;Feb-12;Mar-12;Apr-12;May-12;Jun-12;Jul-12;Aug-12;Sept-12;Oct-12;Nov-12;Dec-12;Jan-13;Feb-13;Mar-13;Apr-13;May-13;Jun-13;Jul-13;Aug-13;Sept-13;Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sept-14;Oct-14;Nov-14;Dec-14;Jan-15;Feb-15;Mar-15;Apr-15;May-15;Jun-15;Jul-15;Aug-15;Sept-15;Oct-15;Nov-15;Dec-15;Jan-16;Feb-16;Mar-16;Apr-16;May-16;Jun-16;Jul-16;Aug-16;Sept-16;Oct-16;Nov-16;Dec-16;Jan-17;Feb-17;Mar-17;Apr-17;May-17;Jun-17;Jul-17;Aug-17;Sept-17;Oct-17;Nov-17;Dec-17;Jan-18;Feb-18;Mar-18;Apr-18;May-18;Jun-18;Jul-18;Aug-18;Sept-18;Oct-18;Nov-18;Dec-18;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sept-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sept-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sept-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22
FIAT;28421;25230;24966;28305;33359;27909;24059;12195;24047;24856;23311;18219;25767;23424;28401;25498;30860;25503;22621;12186;21697;23690;20861;18013;24712;25784;29565;26623;27111;26818;24088;11118;22053;23778;21461;17573;27134;27266;34381;32387;30769;30301;27931;11581;27372;27694;27860;23440;32571;36573;41926;35775;41077;34657;29290;14692;31881;29582;30124;26567;37371;38896;50401;33724;45660;40269;29433;16624;32828;28375;26081;21775;34470;32409;40228;29680;35336;27988;26537;14151;18724;22547;22064;18710;24445;26562;31632;29612;34900;23232;20088;13000;19393;21487;21733;19294;25842;27801;2794;969;13975;18561;19536;12219;23134;25360;21342;19519;20191;22769;26400;23237;23798;22191;16420;9327;13169;17116;15251;13503;16024;16066;15582
VOLKSWAGEN;10942;11355;12426;10617;11563;9321;9017;5111;9386;10082;7763;6024;8533;9642;11513;9466;10795;9291;8392;3904;8043;8830;8695;7532;9421;9908;11608;9692;10344;10179;9513;4719;8940;10156;7894;7234;9812;9635;11774;11409;12153;11294;10473;5025;8868;9520;10093;8198;11869;12609;14281;12604;13762;12503;9706;5287;12794;11386;11187;10124;13246;13432;16565;11063;14853;13198;9425;5911;13782;11659;11874;9275;13382;16178;18108;14397;17911;16068;12885;6548;9713;12305;13323;11424;14865;15915;17535;15237;18880;16139;14395;7429;14075;16890;14022;10891;15003;16172;2316;138;8910;11431;14489;8708;13578;12737;11882;12600;11157;10969;13690;13702;13127;13644;10602;5718;9446;7641;8723;7555;7859;7265;8892
FORD;11861;10649;10966;8076;10572;6924;7727;4139;7175;7856;7795;5294;6603;6892;9294;8923;9540;8196;6894;3421;7297;7103;6704;6110;7454;7551;9131;8224;9475;8902;7517;3781;7901;8304;7496;5343;9422;9426;11215;10238;9919;10430;8947;4631;9017;9123;9727;6657;11111;12662;14087;11413;12587;10360;9279;4889;10122;10138;9707;7384;12622;12919;16921;10999;13827;12255;10112;5278;10079;10135;10585;7969;12532;12841;15502;11864;12761;11558;9759;6025;9125;10578;9213;7514;11152;11433;12296;10928;11908;9814;9511;5620;9511;10772;9996;9326;9106;10773;1759;222;6868;8866;9259;6569;10657;10285;8311;6759;8933;9623;10776;8986;7695;5846;5631;4518;5856;4500;4832;3715;8168;8656;7642
OPEL;6498;7106;9667;7821;8331;7124;5629;3570;6722;6076;6095;4300;6551;5629;6450;5860;7941;7550;5292;2672;5732;5705;5541;5297;5602;5822;7984;6751;7508;8018;5883;3053;6299;6758;6393;5149;7259;7655;10022;7813;8226;8280;7814;3897;7909;7232;7218;5115;8178;9618;9754;8862;9426;8273;6788;4226;8157;7796;7351;6120;9312;9925;12258;7965;10504;8959;7509;4307;8286;8364;7476;3754;8702;8364;11073;8168;10096;8984;7225;4455;7060;8004;7469;5504;9638;9626;10959;9964;10688;8844;8494;4539;8552;5923;5534;3305;7869;6974;824;259;3988;4817;5863;3725;4963;6136;4807;3597;5296;6671;7397;6168;5475;6433;3245;1499;3284;2496;3356;2312;3609;4436;4584
CITROEN;7665;7391;6374;7545;7431;6392;5742;1990;4411;5616;4646;4261;6172;4992;5264;5689;6435;5716;5153;2223;4379;4475;3927;3203;5607;5237;5771;5381;5167;4906;4092;2051;4160;4283;3366;2817;4199;4574;5639;5027;5133;5297;4830;2153;4360;4575;4379;3487;5610;6278;6592;5844;5829;4815;4537;2741;5001;4535;4303;3856;7096;7326;8227;6423;8328;7467;5748;3623;6025;6518;6234;4976;8776;9088;9772;7786;8140;6813;5876;3957;5103;6213;5929;5247;8959;9127;9516;8335;8610;7341;6323;3484;6199;6809;6296;5254;8805;8015;1031;272;4770;5696;4941;4357;6304;7931;6840;5245;7121;8243;8862;7061;6594;7248;3411;1730;3499;3739;4376;2908;3460;4729;7039
LANCIA;7004;7102;6511;7520;7768;7240;5383;2614;5459;5468;5193;4173;4965;4376;5746;6152;6039;4716;5085;2257;4334;4607;4336;4205;5664;4403;5463;4431;5668;4655;3900;2245;5512;5479;4351;3583;5034;5217;5461;5512;5218;5699;4470;2521;4486;4191;4280;4207;5560;6788;7125;6923;7206;5606;4487;2477;5321;5447;4383;4326;5786;7195;8305;5851;5289;4610;4247;2834;4656;4494;3917;3140;4250;4185;5265;4387;5068;3994;3455;1278;3365;4476;4463;4355;6606;5816;6080;5736;6090;4349;4315;2502;4156;4846;4320;3923;6251;5948;514;109;2438;3508;3637;2261;4687;4716;4216;4728;4047;3866;5093;5152;4611;4333;3140;2057;2944;3012;3207;2210;3267;3892;3608
RENAULT;5029;5220;6394;5855;6917;6928;4107;1997;3957;4355;4432;4679;4877;4947;5244;6124;7673;7372;4986;2594;5655;6514;4819;4623;6284;5722;8346;6235;8844;8893;7057;3493;5824;7724;6725;5937;7965;8376;9334;10674;8638;8011;7476;3124;6525;7687;8652;7876;9828;9892;12203;10640;14827;12618;8697;3858;8744;8145;10022;8242;9975;10344;16593;12168;14420;14350;8007;5496;10978;10420;12090;8530;9503;9884;13909;12291;15145;13291;11109;9581;5656;7505;8109;8910;8213;9868;12225;9414;13000;13160;9260;5858;6276;8368;8472;9655;7419;9861;1702;452;6219;9617;7316;5099;11012;9124;9291;8651;6895;6577;8706;5444;5680;8716;5460;4284;6404;5736;5842;4760;5415;5292;5221
PEUGEOT;6582;6154;5490;5815;7391;6130;5725;3274;5615;7074;5803;4072;4862;5534;6232;5783;6255;5751;5017;2333;5311;5625;5427;4248;6347;6558;7060;6327;6932;6781;5873;2793;5869;6250;5391;4717;6557;7555;8682;8382;7906;7655;6946;3178;6838;6823;6648;6647;8094;9817;9992;8914;9245;7894;6359;3736;7437;7782;7548;6782;9470;10140;11526;8280;10533;8128;8403;4483;8384;9148;8404;7094;10879;11444;11503;9529;10398;8913;7995;4846;7866;8935;8706;7221;11346;11264;10889;10195;10253;8652;9101;4855;7931;9772;8021;7587;9858;10811;1496;477;6257;7224;7459;5278;8205;8648;7896;7925;9184;10671;11446;9022;8093;8068;6159;2887;4112;4438;4657;5418;6639;6931;6593
AUDI;5279;3664;5740;4147;5830;5015;4135;2225;4363;4141;3606;2942;4562;3743;4546;4261;4522;4883;4283;2103;3956;4023;3807;2843;4906;4717;5182;4401;4832;4707;4328;2030;4118;4365;4040;2094;4968;4511;5520;4983;5121;5510;4613;2177;4889;5177;4590;2480;5742;6209;6778;5860;6561;5215;4972;2339;5296;5374;5730;3608;5686;6112;6919;5688;6862;6632;5270;3252;6537;5564;5310;3069;6502;5681;6638;5849;6481;7241;5250;2081;3200;4445;4546;4743;4087;5675;6418;5623;6738;6639;6096;2663;4516;5559;5431;4913;5004;5840;1208;73;3841;5847;6252;2893;4005;5618;5435;3770;5184;5554;6427;6020;6171;6556;4989;2425;3096;2986;3290;2998;2985;4371;5552
NISSAN;5322;4716;5009;4234;4339;4108;4041;2050;4165;4212;4165;2706;4546;4273;6453;2937;4037;4628;3844;1857;3906;3613;3499;2728;3954;3644;5525;4189;4938;4046;4106;1983;4040;4730;3916;3174;4949;5789;6576;5075;5096;4968;4739;2120;4616;4957;4677;3602;5110;5369;6097;5301;5555;5213;4067;1919;4139;4686;4239;3292;4796;6032;7721;3630;6138;7070;4842;2872;6558;4484;4253;4145;6446;6397;6933;4587;5199;4138;4145;2344;4049;4015;3285;2947;4104;4518;4654;4416;3983;3372;3184;1669;3678;3811;2893;2754;3326;3709;684;18;1644;2132;2221;2080;3597;3469;2970;2481;2442;2764;3401;2156;2314;2080;2035;1541;2308;2132;2350;1666;1841;2180;2537
