Month;Tax
Jan-12;10.5
Feb-12;11.0
Mar-12;11.6
Apr-12;11.2
May-12;10.5
Jun-12;10.4
Jul-12;10.0
Aug-12;9.2
Sept-12;10.8
Oct-12;12.0
Nov-12;12.0
Dec-12;11.4
Jan-13;13.1
Feb-13;13.1
Mar-13;12.7
Apr-13;12.6
May-13;12.4
Jun-13;11.7
Jul-13;11.1
Aug-13;11.0
Sept-13;12.3
Oct-13;12.9
Nov-13;13.2
Dec-13;12.3
Jan-14;14.0
Feb-14;14.0
Mar-14;13.2
Apr-14;12.9
May-14;12.8
Jun-14;11.3
Jul-14;11.9
Aug-14;11.0
Sept-14;12.7
Oct-14;13.6
Nov-14;14.4
Dec-14;12.1
Jan-15;12.9
Feb-15;13.2
Mar-15;13.3
Apr-15;12.2
May-15;12.4
Jun-15;12.1
Jul-15;10.7
Aug-15;9.9
Sept-15;11.3
Oct-15;12.1
Nov-15;12.2
Dec-15;11.7
Jan-16;12.1
Feb-16;12.3
Mar-16;12.1
Apr-16;11.9
May-16;11.5
Jun-16;11.5
Jul-16;10.8
Aug-16;10.2
Sept-16;11.8
Oct-16;12.0
Nov-16;12.7
Dec-16;12.1
Jan-17;12.4
Feb-17;12.0
Mar-17;12.2
Apr-17;11.2
May-17;11.2
Jun-17;10.7
Jul-17;10.7
Aug-17;10.2
Sept-17;10.9
Oct-17;11.3
Nov-17;11.5
Dec-17;10.8
Jan-18;11.9
Feb-18;11.3
Mar-18;11.5
Apr-18;11.3
May-18;10.4
Jun-18;10.4
Jul-18;9.6
Aug-18;8.5
Sept-18;9.9
Oct-18;11.2
Nov-18;11.0
Dec-18;10.2
Jan-19;11.3
Feb-19;11.3
Mar-19;10.5
Apr-19;10.3
May-19;9.6
Jun-19;9.2
Jul-19;9.4
Aug-19;8.2
Sept-19;9.8
Oct-19;9.9
Nov-19;9.9
Dec-19;9.8
Jan-20;10.5
Feb-20;10.0
Mar-20;7.6
Apr-20;6.4
May-20;8.0
Jun-20;9.4
Jul-20;10.6
Aug-20;9.6
Sept-20;10.4
Oct-20;10.5
Nov-20;9.0
Dec-20;9.6
Jan-21;10.9
Feb-21;10.7
Mar-21;10.4
Apr-21;10.1
May-21;9.6
Jun-21;9.2
Jul-21;8.8
Aug-21;8.7
Sept-21;9.0
Oct-21;9.7
Nov-21;8.8
Dec-21;8.8
Jan-22;8.9
Feb-22;8.5
